run_id,IPR_MIN_LONG,IPR_ASK_SKEW_VOL,IPR_BID_SKEW_VOL1,IPR_BID_SKEW_VOL2,total_pnl,duration_s
1,40,30,10,40,0.0,0.54
2,40,30,10,50,0.0,0.34
3,40,30,10,60,0.0,0.33
4,40,30,20,40,0.0,0.33
5,40,30,20,50,0.0,0.33
6,40,30,20,60,0.0,0.33
7,40,30,30,40,0.0,0.33
8,40,30,30,50,0.0,0.34
9,40,30,30,60,0.0,0.33
10,40,40,10,40,0.0,0.33
11,40,40,10,50,0.0,0.33
12,40,40,10,60,0.0,0.33
13,40,40,20,40,0.0,0.33
14,40,40,20,50,0.0,0.33
15,40,40,20,60,0.0,0.33
16,40,40,30,40,0.0,0.33
17,40,40,30,50,0.0,0.34
18,40,40,30,60,0.0,0.33
19,40,50,10,40,0.0,0.33
20,40,50,10,50,0.0,0.33
21,40,50,10,60,0.0,0.33
22,40,50,20,40,0.0,0.33
23,40,50,20,50,0.0,0.33
24,40,50,20,60,0.0,0.33
25,40,50,30,40,0.0,0.33
26,40,50,30,50,0.0,0.33
27,40,50,30,60,0.0,0.38
28,50,30,10,40,0.0,0.33
29,50,30,10,50,0.0,0.33
30,50,30,10,60,0.0,0.33
31,50,30,20,40,0.0,0.33
32,50,30,20,50,0.0,0.33
33,50,30,20,60,0.0,0.33
34,50,30,30,40,0.0,0.36
35,50,30,30,50,0.0,0.34
36,50,30,30,60,0.0,0.35
37,50,40,10,40,0.0,0.33
38,50,40,10,50,0.0,0.33
39,50,40,10,60,0.0,0.33
40,50,40,20,40,0.0,0.33
41,50,40,20,50,0.0,0.33
42,50,40,20,60,0.0,0.33
43,50,40,30,40,0.0,0.33
44,50,40,30,50,0.0,0.34
45,50,40,30,60,0.0,0.34
46,50,50,10,40,0.0,0.33
47,50,50,10,50,0.0,0.33
48,50,50,10,60,0.0,0.33
49,50,50,20,40,0.0,0.33
50,50,50,20,50,0.0,0.33
51,50,50,20,60,0.0,0.33
52,50,50,30,40,0.0,0.33
53,50,50,30,50,0.0,0.33
54,50,50,30,60,0.0,0.33
55,60,30,10,40,0.0,0.33
56,60,30,10,50,0.0,0.33
57,60,30,10,60,0.0,0.33
58,60,30,20,40,0.0,0.37
59,60,30,20,50,0.0,0.33
60,60,30,20,60,0.0,0.33
61,60,30,30,40,0.0,0.33
62,60,30,30,50,0.0,0.34
63,60,30,30,60,0.0,0.36
64,60,40,10,40,0.0,0.33
65,60,40,10,50,0.0,0.33
66,60,40,10,60,0.0,0.33
67,60,40,20,40,0.0,0.33
68,60,40,20,50,0.0,0.33
69,60,40,20,60,0.0,0.33
70,60,40,30,40,0.0,0.37
71,60,40,30,50,0.0,0.33
72,60,40,30,60,0.0,0.33
73,60,50,10,40,0.0,0.33
74,60,50,10,50,0.0,0.33
75,60,50,10,60,0.0,0.33
76,60,50,20,40,0.0,0.33
77,60,50,20,50,0.0,0.33
78,60,50,20,60,0.0,0.33
79,60,50,30,40,0.0,0.35
80,60,50,30,50,0.0,0.35
81,60,50,30,60,0.0,0.34
