run_id,IPR_MIN_LONG,IPR_ASK_SKEW_VOL,IPR_BID_SKEW_VOL1,IPR_BID_SKEW_VOL2,total_pnl,pnl_ASH_COATED_OSMIUM,pnl_INTARIAN_PEPPER_ROOT,duration_s
1,40,30,40,10,248474.5,41194.5,207280.0,2.03
2,40,30,40,20,248474.5,41194.5,207280.0,1.18
3,40,30,40,30,248474.5,41194.5,207280.0,1.08
4,40,30,50,10,251004.5,41194.5,209810.0,1.08
5,40,30,50,20,251004.5,41194.5,209810.0,1.08
6,40,30,50,30,251004.5,41194.5,209810.0,1.07
7,40,30,60,10,254496.5,41194.5,213302.0,1.08
8,40,30,60,20,254496.5,41194.5,213302.0,1.07
9,40,30,60,30,254496.5,41194.5,213302.0,1.07
10,40,40,40,10,248474.5,41194.5,207280.0,1.12
11,40,40,40,20,248474.5,41194.5,207280.0,1.25
12,40,40,40,30,248474.5,41194.5,207280.0,1.1
13,40,40,50,10,251004.5,41194.5,209810.0,1.08
14,40,40,50,20,251004.5,41194.5,209810.0,1.09
15,40,40,50,30,251004.5,41194.5,209810.0,1.07
16,40,40,60,10,254496.5,41194.5,213302.0,1.06
17,40,40,60,20,254496.5,41194.5,213302.0,1.09
18,40,40,60,30,254496.5,41194.5,213302.0,1.18
19,40,50,40,10,248701.5,41194.5,207507.0,1.28
20,40,50,40,20,248701.5,41194.5,207507.0,1.42
21,40,50,40,30,248701.5,41194.5,207507.0,1.17
22,40,50,50,10,251229.5,41194.5,210035.0,1.2
23,40,50,50,20,251229.5,41194.5,210035.0,1.18
24,40,50,50,30,251229.5,41194.5,210035.0,1.24
25,40,50,60,10,254699.5,41194.5,213505.0,1.2
26,40,50,60,20,254699.5,41194.5,213505.0,1.17
27,40,50,60,30,254699.5,41194.5,213505.0,1.23
28,50,30,40,10,259093.5,41194.5,217899.0,1.29
29,50,30,40,20,259093.5,41194.5,217899.0,2.16
30,50,30,40,30,259093.5,41194.5,217899.0,1.95
31,50,30,50,10,259805.5,41194.5,218611.0,1.55
32,50,30,50,20,259805.5,41194.5,218611.0,1.32
33,50,30,50,30,259805.5,41194.5,218611.0,1.32
34,50,30,60,10,262213.5,41194.5,221019.0,1.7
35,50,30,60,20,262213.5,41194.5,221019.0,1.27
36,50,30,60,30,262213.5,41194.5,221019.0,1.44
37,50,40,40,10,259093.5,41194.5,217899.0,1.26
38,50,40,40,20,259093.5,41194.5,217899.0,1.24
39,50,40,40,30,259093.5,41194.5,217899.0,1.35
40,50,40,50,10,259805.5,41194.5,218611.0,1.24
41,50,40,50,20,259805.5,41194.5,218611.0,1.26
42,50,40,50,30,259805.5,41194.5,218611.0,1.26
43,50,40,60,10,262213.5,41194.5,221019.0,1.24
44,50,40,60,20,262213.5,41194.5,221019.0,1.31
45,50,40,60,30,262213.5,41194.5,221019.0,1.23
46,50,50,40,10,259093.5,41194.5,217899.0,1.23
47,50,50,40,20,259093.5,41194.5,217899.0,1.21
48,50,50,40,30,259093.5,41194.5,217899.0,1.2
49,50,50,50,10,259805.5,41194.5,218611.0,1.32
50,50,50,50,20,259805.5,41194.5,218611.0,1.47
51,50,50,50,30,259805.5,41194.5,218611.0,1.48
52,50,50,60,10,262213.5,41194.5,221019.0,1.33
53,50,50,60,20,262213.5,41194.5,221019.0,1.13
54,50,50,60,30,262213.5,41194.5,221019.0,1.08
55,60,30,40,10,270390.5,41194.5,229196.0,1.12
56,60,30,40,20,270390.5,41194.5,229196.0,1.19
57,60,30,40,30,270390.5,41194.5,229196.0,1.13
58,60,30,50,10,270539.5,41194.5,229345.0,1.09
59,60,30,50,20,270539.5,41194.5,229345.0,1.17
60,60,30,50,30,270539.5,41194.5,229345.0,1.11
61,60,30,60,10,271237.5,41194.5,230043.0,1.12
62,60,30,60,20,271237.5,41194.5,230043.0,1.09
63,60,30,60,30,271237.5,41194.5,230043.0,1.09
64,60,40,40,10,270390.5,41194.5,229196.0,1.08
65,60,40,40,20,270390.5,41194.5,229196.0,1.09
66,60,40,40,30,270390.5,41194.5,229196.0,1.09
67,60,40,50,10,270539.5,41194.5,229345.0,1.13
68,60,40,50,20,270539.5,41194.5,229345.0,1.1
69,60,40,50,30,270539.5,41194.5,229345.0,1.11
70,60,40,60,10,271237.5,41194.5,230043.0,1.11
71,60,40,60,20,271237.5,41194.5,230043.0,1.15
72,60,40,60,30,271237.5,41194.5,230043.0,1.1
73,60,50,40,10,270390.5,41194.5,229196.0,1.09
74,60,50,40,20,270390.5,41194.5,229196.0,1.12
75,60,50,40,30,270390.5,41194.5,229196.0,1.09
76,60,50,50,10,270539.5,41194.5,229345.0,1.08
77,60,50,50,20,270539.5,41194.5,229345.0,1.09
78,60,50,50,30,270539.5,41194.5,229345.0,1.09
79,60,50,60,10,271237.5,41194.5,230043.0,1.09
80,60,50,60,20,271237.5,41194.5,230043.0,1.08
81,60,50,60,30,271237.5,41194.5,230043.0,1.09
