run_id,IPR_MIN_LONG,IPR_ASK_SKEW_VOL,IPR_BID_SKEW_VOL1,IPR_BID_SKEW_VOL2,total_pnl,duration_s
1,40,30,10,40,0.0,0.76
2,40,30,10,50,0.0,0.52
3,40,30,10,60,0.0,0.52
4,40,30,20,40,0.0,0.46
5,40,30,20,50,0.0,0.47
6,40,30,20,60,0.0,0.51
7,40,30,30,40,0.0,0.53
8,40,30,30,50,0.0,0.49
9,40,30,30,60,0.0,0.54
10,40,40,10,40,0.0,0.46
11,40,40,10,50,0.0,0.46
12,40,40,10,60,0.0,0.49
13,40,40,20,40,0.0,0.47
14,40,40,20,50,0.0,0.46
15,40,40,20,60,0.0,0.53
16,40,40,30,40,0.0,0.48
17,40,40,30,50,0.0,0.46
18,40,40,30,60,0.0,0.5
19,40,50,10,40,0.0,0.48
20,40,50,10,50,0.0,0.47
21,40,50,10,60,0.0,0.46
22,40,50,20,40,0.0,0.46
23,40,50,20,50,0.0,0.45
24,40,50,20,60,0.0,0.47
25,40,50,30,40,0.0,0.47
26,40,50,30,50,0.0,0.48
27,40,50,30,60,0.0,0.47
28,50,30,10,40,0.0,0.47
29,50,30,10,50,0.0,0.45
30,50,30,10,60,0.0,0.46
31,50,30,20,40,0.0,0.48
32,50,30,20,50,0.0,0.47
33,50,30,20,60,0.0,0.47
34,50,30,30,40,0.0,0.46
35,50,30,30,50,0.0,0.5
36,50,30,30,60,0.0,0.46
37,50,40,10,40,0.0,0.47
38,50,40,10,50,0.0,0.46
