sub_id,ACO_UNWIND_THRESHOLD,ACO_TAKE_PROFIT,ACO_PRICE_OFFSET,ACO_PRC_SKEW1,ACO_PRC_SKEW2,ACO_SKEW_LEVEL1,ACO_SKEW_LEVEL2,ACO_MA_WINDOW,pnl_ASH_COATED_OSMIUM,pnl_INTARIAN_PEPPER_ROOT
189852,15,30,1,1,2,50,65,5,2776.90625,7408.5
190034,15,30,1,1,2,50,65,10,2776.90625,7408.5
190101,15,30,1,1,3,50,65,5,2776.90625,7408.5
