run_id,IPR_MIN_LONG,IPR_ASK_SKEW_VOL,IPR_BID_SKEW_VOL1,IPR_BID_SKEW_VOL2,total_pnl,pnl_ASH_COATED_OSMIUM,pnl_INTARIAN_PEPPER_ROOT,duration_s
1,40,30,10,40,248412.5,41194.5,207218.0,1.25
2,40,30,10,50,251141.5,41194.5,209947.0,1.09
3,40,30,10,60,252805.5,41194.5,211611.0,1.1
4,40,30,20,40,248401.5,41194.5,207207.0,1.14
5,40,30,20,50,251130.5,41194.5,209936.0,1.09
6,40,30,20,60,252794.5,41194.5,211600.0,1.08
7,40,30,30,40,248387.5,41194.5,207193.0,1.08
8,40,30,30,50,251116.5,41194.5,209922.0,1.08
9,40,30,30,60,252780.5,41194.5,211586.0,1.09
10,40,40,10,40,248412.5,41194.5,207218.0,1.08
11,40,40,10,50,251141.5,41194.5,209947.0,1.14
12,40,40,10,60,252805.5,41194.5,211611.0,1.08
13,40,40,20,40,248401.5,41194.5,207207.0,1.14
14,40,40,20,50,251130.5,41194.5,209936.0,1.1
15,40,40,20,60,252794.5,41194.5,211600.0,1.09
16,40,40,30,40,248387.5,41194.5,207193.0,1.09
17,40,40,30,50,251116.5,41194.5,209922.0,1.08
18,40,40,30,60,252780.5,41194.5,211586.0,1.16
19,40,50,10,40,248651.5,41194.5,207457.0,1.12
20,40,50,10,50,251371.5,41194.5,210177.0,1.08
21,40,50,10,60,253022.5,41194.5,211828.0,1.09
22,40,50,20,40,248640.5,41194.5,207446.0,1.25
23,40,50,20,50,251360.5,41194.5,210166.0,1.1
24,40,50,20,60,253011.5,41194.5,211817.0,1.09
25,40,50,30,40,248626.5,41194.5,207432.0,1.1
26,40,50,30,50,251346.5,41194.5,210152.0,1.11
27,40,50,30,60,252997.5,41194.5,211803.0,1.11
28,50,30,10,40,259123.5,41194.5,217929.0,1.1
29,50,30,10,50,259525.5,41194.5,218331.0,1.09
30,50,30,10,60,262440.5,41194.5,221246.0,1.1
31,50,30,20,40,259112.5,41194.5,217918.0,1.08
32,50,30,20,50,259514.5,41194.5,218320.0,1.08
33,50,30,20,60,262429.5,41194.5,221235.0,1.09
34,50,30,30,40,259098.5,41194.5,217904.0,1.14
35,50,30,30,50,259500.5,41194.5,218306.0,1.1
36,50,30,30,60,262415.5,41194.5,221221.0,1.09
37,50,40,10,40,259123.5,41194.5,217929.0,1.09
38,50,40,10,50,259525.5,41194.5,218331.0,1.1
39,50,40,10,60,262440.5,41194.5,221246.0,1.09
40,50,40,20,40,259112.5,41194.5,217918.0,1.12
41,50,40,20,50,259514.5,41194.5,218320.0,1.11
42,50,40,20,60,262429.5,41194.5,221235.0,1.08
43,50,40,30,40,259098.5,41194.5,217904.0,1.1
44,50,40,30,50,259500.5,41194.5,218306.0,1.09
45,50,40,30,60,262415.5,41194.5,221221.0,1.09
46,50,50,10,40,259123.5,41194.5,217929.0,1.16
47,50,50,10,50,259525.5,41194.5,218331.0,1.08
48,50,50,10,60,262440.5,41194.5,221246.0,1.1
49,50,50,20,40,259112.5,41194.5,217918.0,1.1
50,50,50,20,50,259514.5,41194.5,218320.0,1.08
51,50,50,20,60,262429.5,41194.5,221235.0,1.08
52,50,50,30,40,259098.5,41194.5,217904.0,1.08
53,50,50,30,50,259500.5,41194.5,218306.0,1.12
54,50,50,30,60,262415.5,41194.5,221221.0,1.1
55,60,30,10,40,270420.5,41194.5,229226.0,1.15
56,60,30,10,50,270542.5,41194.5,229348.0,1.1
57,60,30,10,60,271678.5,41194.5,230484.0,1.09
58,60,30,20,40,270409.5,41194.5,229215.0,1.19
59,60,30,20,50,270531.5,41194.5,229337.0,1.09
60,60,30,20,60,271667.5,41194.5,230473.0,1.1
61,60,30,30,40,270395.5,41194.5,229201.0,1.11
62,60,30,30,50,270517.5,41194.5,229323.0,1.12
63,60,30,30,60,271653.5,41194.5,230459.0,1.09
64,60,40,10,40,270420.5,41194.5,229226.0,1.1
65,60,40,10,50,270542.5,41194.5,229348.0,1.09
66,60,40,10,60,271678.5,41194.5,230484.0,1.12
67,60,40,20,40,270409.5,41194.5,229215.0,1.09
68,60,40,20,50,270531.5,41194.5,229337.0,1.09
69,60,40,20,60,271667.5,41194.5,230473.0,1.1
70,60,40,30,40,270395.5,41194.5,229201.0,1.25
71,60,40,30,50,270517.5,41194.5,229323.0,1.1
72,60,40,30,60,271653.5,41194.5,230459.0,1.08
73,60,50,10,40,270420.5,41194.5,229226.0,1.09
74,60,50,10,50,270542.5,41194.5,229348.0,1.08
75,60,50,10,60,271678.5,41194.5,230484.0,1.09
76,60,50,20,40,270409.5,41194.5,229215.0,1.09
77,60,50,20,50,270531.5,41194.5,229337.0,1.09
78,60,50,20,60,271667.5,41194.5,230473.0,1.08
79,60,50,30,40,270395.5,41194.5,229201.0,1.11
80,60,50,30,50,270517.5,41194.5,229323.0,1.09
81,60,50,30,60,271653.5,41194.5,230459.0,1.08
