run_id,IPR_MIN_LONG,IPR_ASK_SKEW_VOL,IPR_BID_SKEW_VOL1,IPR_BID_SKEW_VOL2,total_pnl,pnl_ASH_COATED_OSMIUM,pnl_INTARIAN_PEPPER_ROOT,duration_s
1,50,10,60,0,262213.5,41194.5,221019.0,1.91
2,50,10,60,10,262213.5,41194.5,221019.0,1.09
3,50,10,60,20,262213.5,41194.5,221019.0,1.12
4,50,10,70,0,263521.5,41194.5,222327.0,1.08
5,50,10,70,10,263521.5,41194.5,222327.0,1.08
6,50,10,70,20,263521.5,41194.5,222327.0,1.08
7,50,10,75,0,264469.5,41194.5,223275.0,1.08
8,50,10,75,10,264469.5,41194.5,223275.0,1.08
9,50,10,75,20,264469.5,41194.5,223275.0,1.07
10,50,20,60,0,262213.5,41194.5,221019.0,1.07
11,50,20,60,10,262213.5,41194.5,221019.0,1.08
12,50,20,60,20,262213.5,41194.5,221019.0,1.07
13,50,20,70,0,263521.5,41194.5,222327.0,1.07
14,50,20,70,10,263521.5,41194.5,222327.0,1.07
15,50,20,70,20,263521.5,41194.5,222327.0,1.08
16,50,20,75,0,264469.5,41194.5,223275.0,1.08
17,50,20,75,10,264469.5,41194.5,223275.0,1.13
18,50,20,75,20,264469.5,41194.5,223275.0,1.08
19,50,30,60,0,262213.5,41194.5,221019.0,1.09
20,50,30,60,10,262213.5,41194.5,221019.0,1.08
21,50,30,60,20,262213.5,41194.5,221019.0,1.11
22,50,30,70,0,263521.5,41194.5,222327.0,1.08
23,50,30,70,10,263521.5,41194.5,222327.0,1.07
24,50,30,70,20,263521.5,41194.5,222327.0,1.09
25,50,30,75,0,264469.5,41194.5,223275.0,1.09
26,50,30,75,10,264469.5,41194.5,223275.0,1.08
27,50,30,75,20,264469.5,41194.5,223275.0,1.09
28,60,10,60,0,271237.5,41194.5,230043.0,1.11
29,60,10,60,10,271237.5,41194.5,230043.0,1.07
30,60,10,60,20,271237.5,41194.5,230043.0,1.1
31,60,10,70,0,271842.5,41194.5,230648.0,1.08
32,60,10,70,10,271842.5,41194.5,230648.0,1.08
33,60,10,70,20,271842.5,41194.5,230648.0,1.07
34,60,10,75,0,273036.5,41194.5,231842.0,1.09
35,60,10,75,10,273036.5,41194.5,231842.0,1.13
36,60,10,75,20,273036.5,41194.5,231842.0,1.07
37,60,20,60,0,271237.5,41194.5,230043.0,1.07
38,60,20,60,10,271237.5,41194.5,230043.0,1.07
39,60,20,60,20,271237.5,41194.5,230043.0,1.08
40,60,20,70,0,271842.5,41194.5,230648.0,1.11
41,60,20,70,10,271842.5,41194.5,230648.0,1.07
42,60,20,70,20,271842.5,41194.5,230648.0,1.09
43,60,20,75,0,273036.5,41194.5,231842.0,1.16
44,60,20,75,10,273036.5,41194.5,231842.0,1.26
45,60,20,75,20,273036.5,41194.5,231842.0,1.16
46,60,30,60,0,271237.5,41194.5,230043.0,1.15
47,60,30,60,10,271237.5,41194.5,230043.0,1.3
48,60,30,60,20,271237.5,41194.5,230043.0,1.13
49,60,30,70,0,271842.5,41194.5,230648.0,1.15
50,60,30,70,10,271842.5,41194.5,230648.0,1.14
51,60,30,70,20,271842.5,41194.5,230648.0,1.18
52,60,30,75,0,273036.5,41194.5,231842.0,1.09
53,60,30,75,10,273036.5,41194.5,231842.0,1.11
54,60,30,75,20,273036.5,41194.5,231842.0,1.11
55,70,10,60,0,279879.5,41194.5,238685.0,1.11
56,70,10,60,10,279879.5,41194.5,238685.0,1.09
57,70,10,60,20,279879.5,41194.5,238685.0,1.09
58,70,10,70,0,280220.5,41194.5,239026.0,1.07
59,70,10,70,10,280220.5,41194.5,239026.0,1.25
60,70,10,70,20,280220.5,41194.5,239026.0,1.17
61,70,10,75,0,280343.5,41194.5,239149.0,1.2
62,70,10,75,10,280343.5,41194.5,239149.0,1.6
63,70,10,75,20,280343.5,41194.5,239149.0,1.64
64,70,20,60,0,279879.5,41194.5,238685.0,1.53
65,70,20,60,10,279879.5,41194.5,238685.0,1.29
66,70,20,60,20,279879.5,41194.5,238685.0,1.27
67,70,20,70,0,280220.5,41194.5,239026.0,1.17
68,70,20,70,10,280220.5,41194.5,239026.0,1.16
69,70,20,70,20,280220.5,41194.5,239026.0,1.2
70,70,20,75,0,280343.5,41194.5,239149.0,1.33
71,70,20,75,10,280343.5,41194.5,239149.0,1.2
72,70,20,75,20,280343.5,41194.5,239149.0,1.25
73,70,30,60,0,279879.5,41194.5,238685.0,1.11
74,70,30,60,10,279879.5,41194.5,238685.0,1.1
75,70,30,60,20,279879.5,41194.5,238685.0,1.15
76,70,30,70,0,280220.5,41194.5,239026.0,1.07
77,70,30,70,10,280220.5,41194.5,239026.0,1.07
78,70,30,70,20,280220.5,41194.5,239026.0,1.11
79,70,30,75,0,280343.5,41194.5,239149.0,1.09
80,70,30,75,10,280343.5,41194.5,239149.0,1.11
81,70,30,75,20,280343.5,41194.5,239149.0,1.09
