run_id,UNWIND_THRESHOLD_LONG,UNWIND_THRESHOLD_SHORT,TAKE_PROFIT_LONG,TAKE_PROFIT_SHORT,ASK_SKEW1,ASK_SKEW2,BID_SKEW1,BID_SKEW2,PRICE_OFFSET_ASK,PRICE_OFFSET_BID,total_pnl,pnl_EMERALDS,pnl_TOMATOES,duration_s
59,10,-10,10,-10,-2,-3,2,2,2,1,28657.5,14490.0,14167.5,1.78
60,10,-10,10,-10,-2,-3,2,2,2,2,27257.5,14490.0,12767.5,1.78
61,10,-10,10,-10,-2,-3,2,3,1,1,29964.5,14490.0,15474.5,1.82
62,10,-10,10,-10,-2,-3,2,3,1,2,28564.5,14490.0,14074.5,1.91
63,10,-10,10,-10,-2,-3,2,3,2,1,28657.5,14490.0,14167.5,1.85
64,10,-10,10,-10,-2,-3,2,3,2,2,27257.5,14490.0,12767.5,2.02
65,10,-10,10,-20,-1,-2,1,2,1,1,30045.5,14490.0,15555.5,1.82
66,10,-10,10,-20,-1,-2,1,2,1,2,28645.5,14490.0,14155.5,1.9
67,10,-10,10,-20,-1,-2,1,2,2,1,28738.5,14490.0,14248.5,1.81
68,10,-10,10,-20,-1,-2,1,2,2,2,27338.5,14490.0,12848.5,1.78
69,10,-10,10,-20,-1,-2,1,3,1,1,30045.5,14490.0,15555.5,1.84
70,10,-10,10,-20,-1,-2,1,3,1,2,28645.5,14490.0,14155.5,1.9
71,10,-10,10,-20,-1,-2,1,3,2,1,28738.5,14490.0,14248.5,1.91
72,10,-10,10,-20,-1,-2,1,3,2,2,27338.5,14490.0,12848.5,2.23
73,10,-10,10,-20,-1,-2,2,2,1,1,30045.5,14490.0,15555.5,2.0
74,10,-10,10,-20,-1,-2,2,2,1,2,28645.5,14490.0,14155.5,1.88
75,10,-10,10,-20,-1,-2,2,2,2,1,28738.5,14490.0,14248.5,2.02
76,10,-10,10,-20,-1,-2,2,2,2,2,27338.5,14490.0,12848.5,1.79
77,10,-10,10,-20,-1,-2,2,3,1,1,30045.5,14490.0,15555.5,1.79
78,10,-10,10,-20,-1,-2,2,3,1,2,28645.5,14490.0,14155.5,1.8
79,10,-10,10,-20,-1,-2,2,3,2,1,28738.5,14490.0,14248.5,1.8
80,10,-10,10,-20,-1,-2,2,3,2,2,27338.5,14490.0,12848.5,1.79
81,10,-10,10,-20,-1,-3,1,2,1,1,30045.5,14490.0,15555.5,1.75
82,10,-10,10,-20,-1,-3,1,2,1,2,28645.5,14490.0,14155.5,1.76
83,10,-10,10,-20,-1,-3,1,2,2,1,28738.5,14490.0,14248.5,1.77
84,10,-10,10,-20,-1,-3,1,2,2,2,27338.5,14490.0,12848.5,1.88
